ri_id,lead_image,ri_name,text_file,n_En,n_Fa,n_Fs,n_Fm,n_Fp,n_Fo3,n_Ca,n_Su,n_Fb,n_St,n_Pr,n_Sa,n_Al,serving_size
275,20190410_155547_salmon w lettuce blueberry and potato salad.jpg,salmon w lettuce blueberry and potato salad,20190410_155547_salmon w lettuce blueberry and potato salad.txt,71,0.89,0.16,0.32,0.17,2.7,12.07,2.54,1.52,0.0,4.13,0.59,0.0,380
276,20200110_193355_harissa porkloin and toast.jpg,harissa porkloin and toast,20200110_193355_harissa porkloin and toast.txt,246,11.22,2.96,3.21,0.66,0.0,10.58,3.18,1.69,5.92,25.1,0.96,0.0,269
277,20200817_201139_lsr trout & cherry tomato.jpg,lsr trout & cherry tomato,20200817_201139_lsr trout & cherry tomato.txt,148,5.48,0.63,1.05,0.66,0.99,16.96,2.85,0.8,0.22,7.33,0.45,0.0,42
278,20190412_145619_green beans w potato salad.jpg,green beans w potato salad,20190412_145619_green beans w potato salad.txt,59,2.28,0.29,0.1,0.06,0.0,5.97,3.08,3.48,0.03,2.24,0.05,0.0,220
279,20200530_163402_lamb kofte & tomato on brown.jpg,lamb kofte & tomato on brown,20200530_163402_lamb kofte & tomato on brown.txt,207,7.94,1.88,1.52,0.2,0.0,22.26,1.64,1.59,14.84,11.17,0.64,0.0,180
280,20190322_135035_beef brisket and lettuce broth.jpg,beef brisket and lettuce broth,20190322_135035_beef brisket and lettuce broth.txt,96,7.0,2.82,3.0,0.26,0.0,3.2,1.53,0.82,0.15,5.02,0.73,0.0,550
281,20190131_182818_salt & pepper monkfish w poached egg.jpg,salt & pepper monkfish w poached egg,20190131_182818_salt & pepper monkfish w poached egg.txt,57,3.4,0.74,0.28,0.28,0.15,1.89,0.16,0.16,0.95,4.52,1.07,0.0,472
282,20190827_225926_salmon turkey kebab and frazzles.jpg,salmon turkey kebab and frazzles,20190827_225926_salmon turkey kebab and frazzles.txt,183,7.82,1.34,1.57,1.14,0.0,9.1,0.89,0.78,3.92,18.82,0.52,0.0,250
283,20200702_163922_s&p pork arancini.jpg,s&p pork arancini,20200702_163922_s&p pork arancini.txt,252,8.78,2.44,1.88,1.21,0.04,25.45,3.21,2.72,3.75,16.67,1.48,0.0,73
284,20190615_131119_mums spinach omelette.jpg,mums spinach omelette,20190615_131119_mums spinach omelette.txt,150,10.88,2.73,2.91,1.56,0.0,1.84,0.46,0.79,0.0,10.94,0.39,0.0,0
285,20210612_181103_two egg cheddar omelette.jpg,two egg cheddar omelette,20210612_181103_two egg cheddar omelette.txt,223,16.21,7.85,5.41,1.8,0.15,1.34,0.66,0.02,0.0,17.04,2.42,0.0,137
286,20190330_191929_chicken chunk burger.jpg,chicken chunk burger,20190330_191929_chicken chunk burger.txt,165,8.08,2.78,3.13,1.08,0.0,4.07,0.94,0.35,2.51,18.18,1.29,0.0,170
287,20200227_213726_eggs on toast & wotsits.jpg,eggs on toast & wotsits,20200227_213726_eggs on toast & wotsits.txt,319,20.56,7.14,4.95,3.08,0.0,21.18,1.93,2.91,0.0,11.06,0.92,0.0,240
288,20200608_162013_steak w shiitake mushrooms & caramelised onions.jpg,steak w shiitake mushrooms & caramelised onions,20200608_162013_steak w shiitake mushrooms & caramelised onions.txt,131,6.7,2.26,2.23,0.33,3.81,5.65,2.28,1.42,0.2,12.59,0.26,0.0,340
289,20200615_094618_em chicken takeaway.jpg,em chicken takeaway,20200615_094618_em chicken takeaway.txt,57,3.07,0.91,1.26,0.6,0.02,1.28,0.61,0.38,0.22,5.83,0.94,0.0,436
290,20190316_165611_avocado and greens salad.jpg,avocado and greens salad,20190316_165611_avocado and greens salad.txt,84,6.99,0.63,0.71,0.15,0.0,4.83,2.41,1.91,0.42,1.12,0.58,0.0,241
291,20200221_154711_tag & cheese w salmon & carrots.jpg,tag & cheese w salmon & carrots,20200221_154711_tag & cheese w salmon & carrots.txt,131,6.8,3.0,2.03,0.72,0.16,5.28,2.64,1.58,0.28,8.95,0.41,0.0,447
292,20190710_151251_seared plaice.jpg,seared plaice,20190710_151251_seared plaice.txt,106,4.46,0.67,0.63,0.5,0.0,0.0,0.0,0.0,0.0,15.5,1.56,0.0,176
293,20190116_132921_buttered sourdough toast.jpg,buttered sourdough toast,20190116_132921_buttered sourdough toast.txt,324,12.75,7.46,2.96,0.42,0.0,44.17,0.79,2.23,35.75,7.85,0.93,0.0,71
294,20190314_134805_smoked salmon w crudities.jpg,smoked salmon w crudities,20190314_134805_smoked salmon w crudities.txt,50,0.87,0.19,0.22,0.19,1.84,7.38,5.09,1.52,0.47,3.63,0.49,0.0,494
295,20190803_154341_confit garlic.jpg,confit garlic,20190803_154341_confit garlic.txt,276,13.18,1.13,0.0,0.0,0.0,23.68,2.24,6.56,21.44,12.64,0.02,0.0,2
296,20210402_141740_chicken nero.jpg,chicken nero,20210402_141740_chicken nero.txt,123,6.38,1.49,2.63,1.13,0.01,0.73,0.61,0.08,0.03,14.37,0.25,0.0,201
297,20190906_143303_leek and cabbage noodles.jpg,leek and cabbage noodles,20190906_143303_leek and cabbage noodles.txt,69,2.96,0.59,1.69,0.32,0.0,8.98,4.1,1.87,0.25,1.74,0.73,0.0,325
298,20210311_105349_sweet pickled onions.jpg,sweet pickled onions,20210311_105349_sweet pickled onions.txt,67,0.08,0.04,0.0,0.0,0.0,14.7,13.27,1.17,0.0,0.87,0.01,0.0,180
299,20200213_152931_butter prawns w beetroot apricot salad.jpg,butter prawns w beetroot apricot salad,20200213_152931_butter prawns w beetroot apricot salad.txt,96,3.93,1.49,1.18,0.77,2.34,8.0,6.18,1.16,0.29,6.86,1.16,0.0,253
300,20200316_194543_loose garlic cheese sauce.jpg,loose garlic cheese sauce,20200316_194543_loose garlic cheese sauce.txt,160,12.06,7.86,2.17,0.34,0.0,8.82,4.44,0.25,0.0,4.23,0.64,0.0,820
301,20190704_113132_prawn couscous w parma & tomato on toast.jpg,prawn couscous w parma & tomato on toast,20190704_113132_prawn couscous w parma & tomato on toast.txt,178,7.45,1.12,0.77,0.37,0.34,16.32,2.15,1.16,10.63,10.67,1.21,0.0,156
302,20200521_125527_mushroom & aubergine bulgar wheat.jpg,mushroom & aubergine bulgar wheat,20200521_125527_mushroom & aubergine bulgar wheat.txt,103,5.33,0.71,1.74,2.17,0.0,11.78,4.4,3.52,1.87,3.8,0.18,0.0,250
303,20191225_131541_mini demi brioche buns.jpg,mini demi brioche buns,20191225_131541_mini demi brioche buns.txt,369,17.6,8.75,3.97,0.67,0.0,43.32,5.88,2.05,29.31,9.35,1.08,0.0,20
304,20200307_150629_asparagus & cabbage.jpg,asparagus & cabbage,20200307_150629_asparagus & cabbage.txt,45,2.35,1.4,0.42,0.12,0.0,4.27,2.61,2.08,0.0,2.22,0.95,0.0,450
305,20190912_111615_pork stuffing.jpg,pork stuffing,20190912_111615_pork stuffing.txt,243,17.48,7.28,6.33,2.35,0.0,15.08,4.31,1.6,4.78,6.89,0.44,0.0,480
306,20210728_154221_baked seabream w green leaves.jpg,baked seabream w green leaves,20210728_154221_baked seabream w green leaves.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,325
307,20191127_124133_bakewell fudge v1.jpg,bakewell fudge v1,20191127_124133_bakewell fudge v1.txt,456,23.46,14.22,6.77,1.02,0.0,60.55,56.61,0.28,3.93,1.54,0.16,0.0,0
308,20190620_140843_sweetheart noodles & veggie haggis.jpg,sweetheart noodles & veggie haggis,20190620_140843_sweetheart noodles & veggie haggis.txt,68,4.03,2.17,0.97,0.31,0.0,5.51,3.03,2.59,0.82,2.59,1.01,0.0,150
309,20200212_225041_snack 20200212.jpg,snack 20200212,20200212_225041_snack 20200212.txt,158,8.61,2.44,1.59,0.34,0.0,11.97,1.73,0.99,4.09,8.18,0.61,0.0,193
310,20210804_164011_lamb chops in red wine sauce w mushrooms & tomato flatbread.jpg,lamb chops in red wine sauce w mushrooms & tomato flatbread,20210804_164011_lamb chops in red wine sauce w mushrooms & tomato flatbread.txt,223,11.04,4.1,4.32,0.82,0.3,11.47,1.32,0.98,0.11,15.47,0.64,2.24,500
311,20190730_154242_home grown potatoes in herbs and butter.jpg,home grown potatoes in herbs and butter,20190730_154242_home grown potatoes in herbs and butter.txt,121,4.63,2.87,1.17,0.17,0.0,18.69,0.86,1.72,0.0,1.68,0.1,0.0,134
312,20190804_181131_rainbow apple slaw.jpg,rainbow apple slaw,20190804_181131_rainbow apple slaw.txt,39,0.29,0.05,0.02,0.07,0.0,8.82,5.0,2.15,0.32,0.94,0.32,0.0,238
313,20190412_144856_spinach and cheddar cheese tortilla.jpg,spinach and cheddar cheese tortilla,20190412_144856_spinach and cheddar cheese tortilla.txt,138,9.49,4.28,3.03,1.17,0.08,2.52,0.51,1.19,0.0,11.04,0.75,0.0,120
314,20191230_144733_prawn & salmon w courgette & mushroom broth.jpg,prawn & salmon w courgette & mushroom broth,20191230_144733_prawn & salmon w courgette & mushroom broth.txt,45,2.13,0.97,0.5,0.26,0.0,2.34,1.51,0.59,0.13,4.29,0.59,0.0,620
315,20200302_161411_grape avocado & carrot salad.jpg,grape avocado & carrot salad,20200302_161411_grape avocado & carrot salad.txt,89,4.59,0.72,2.64,0.83,0.06,11.07,5.94,3.15,0.27,2.59,0.38,0.0,337
316,20200911_143004_steak w mushrooms & parsley.jpg,steak w mushrooms & parsley,20200911_143004_steak w mushrooms & parsley.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,240
317,20190228_222744_cannellini bean stew topped w crispy pulled lamb.jpg,cannellini bean stew topped w crispy pulled lamb,20190228_222744_cannellini bean stew topped w crispy pulled lamb.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,4780
318,20190417_215443_salmon & coriander nigiri lite v1.jpg,salmon & coriander nigiri lite v1,20190417_215443_salmon & coriander nigiri lite v1.txt,167,5.8,1.28,1.67,1.77,0.0,18.68,2.74,0.71,0.26,9.28,0.48,0.0,40
319,20190912_132610_stuffed pork and veg stew.jpg,stuffed pork and veg stew,20190912_132610_stuffed pork and veg stew.txt,181,10.24,3.65,4.17,1.73,0.0,9.44,2.55,1.87,0.4,13.13,0.35,0.0,480
320,20200430_145323_avocado chicken breast.jpg,avocado chicken breast,20200430_145323_avocado chicken breast.txt,183,11.25,2.69,5.59,2.06,0.0,3.3,0.8,1.86,0.03,17.22,0.35,0.0,285
321,20190826_161442_meat free burger.jpg,meat free burger,20190826_161442_meat free burger.txt,210,9.34,6.16,0.37,0.2,0.0,13.52,3.84,1.01,0.0,15.33,2.16,0.0,177
322,20210721_132516_plain turkey & chicken kofte mix.jpg,plain turkey & chicken kofte mix,20210721_132516_plain turkey & chicken kofte mix.txt,145,6.31,1.59,1.75,0.71,0.87,3.79,1.11,0.52,0.0,18.03,0.4,0.0,0
323,20200611_133637_copa crisp.jpg,copa crisp,20200611_133637_copa crisp.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,20190113_163147_sirloin steak w roots & fruits.jpg,sirloin steak w roots & fruits,20190113_163147_sirloin steak w roots & fruits.txt,71,2.52,0.62,0.72,0.1,0.07,4.58,3.14,0.97,0.28,7.9,0.29,0.0,0
325,20190403_155955_chicken chunk meatballs and paprika linguini.jpg,chicken chunk meatballs and paprika linguini,20190403_155955_chicken chunk meatballs and paprika linguini.txt,123,4.52,1.71,1.57,0.43,0.0,5.36,2.83,1.78,0.79,5.61,0.95,0.0,400
326,20210708_153511_beetroot & orange salad.jpg,beetroot & orange salad,20210708_153511_beetroot & orange salad.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,206
327,20190614_194327_lamb chop rounds & egg on toast.jpg,lamb chop rounds & egg on toast,20190614_194327_lamb chop rounds & egg on toast.txt,193,8.77,3.85,2.91,0.86,0.23,12.34,0.33,0.61,9.83,15.03,0.46,0.0,100
328,20190216_173108_shredded lettuce red onion with chicken vegetable and lemon grass.jpg,shredded lettuce red onion with chicken vegetable and lemon grass,20190216_173108_shredded lettuce red onion with chicken vegetable and lemon grass.txt,73,2.34,0.62,0.66,0.45,0.0,2.65,1.22,0.76,0.02,9.96,0.56,0.0,333
329,20190506_161655_courgette ribbon beetroot & tomato salad.jpg,courgette ribbon beetroot & tomato salad,20190506_161655_courgette ribbon beetroot & tomato salad.txt,28,0.29,0.15,0.0,0.06,0.0,5.55,3.84,1.24,0.0,1.22,0.25,0.0,225
330,20190901_150337_lamb and aubergine teriyaki skewers.jpg,lamb and aubergine teriyaki skewers,20190901_150337_lamb and aubergine teriyaki skewers.txt,123,2.53,0.84,0.86,0.23,0.19,13.03,8.35,2.17,2.49,11.34,0.72,0.0,204
331,20190519_183026_pimped pork shoulder stew.jpg,pimped pork shoulder stew,20190519_183026_pimped pork shoulder stew.txt,130,7.3,2.35,2.34,1.17,0.0,5.65,1.42,0.96,0.0,10.35,0.57,0.0,444
332,20210412_065335_turkey kofte & noodles w kimchi k.jpg,turkey kofte & noodles w kimchi k,20210412_065335_turkey kofte & noodles w kimchi k.txt,70,3.63,0.79,1.08,0.26,0.0,2.9,1.75,1.37,0.22,6.28,0.35,0.0,308
333,20210325_165631_pork berengen.jpg,pork berengen,20210325_165631_pork berengen.txt,114,6.2,1.23,3.79,0.93,0.02,2.59,1.63,1.02,0.08,12.03,0.5,0.0,119
334,20200105_165347_crispy prawns w bamboo shoot curry.jpg,crispy prawns w bamboo shoot curry,20200105_165347_crispy prawns w bamboo shoot curry.txt,151,12.16,9.98,0.96,0.26,0.0,6.2,1.83,0.87,0.19,5.86,0.62,0.0,425
335,20191204_122710_chicken & beansprout broth.jpg,chicken & beansprout broth,20191204_122710_chicken & beansprout broth.txt,41,1.76,0.32,0.03,0.06,0.0,2.77,1.59,0.68,0.08,3.81,0.87,0.0,640
336,20190708_163913_sweetheart cabbage w chicken & coriander.jpg,sweetheart cabbage w chicken & coriander,20190708_163913_sweetheart cabbage w chicken & coriander.txt,57,2.12,0.43,0.23,0.15,0.0,5.15,1.37,1.12,0.28,4.1,0.78,0.0,600
337,20200527_141512_turkey stirfry.jpg,turkey stirfry,20200527_141512_turkey stirfry.txt,108,1.96,0.26,0.14,0.16,0.0,9.77,7.36,1.55,0.4,11.81,0.17,0.0,536
338,20190226_220948_mixed snack 20190226-1.jpg,mixed snack 20190226-1,20190226_220948_mixed snack 20190226-1.txt,206,11.9,3.98,0.81,0.19,0.68,16.8,3.21,1.79,7.61,7.86,0.74,0.0,0
339,20190902_151151_seabass broccoli peppers & couscous & coriander.jpg,seabass broccoli peppers & couscous & coriander,20190902_151151_seabass broccoli peppers & couscous & coriander.txt,145,6.65,0.92,3.1,0.96,0.28,14.05,4.04,3.18,0.04,7.91,0.87,0.0,455
340,20200429_142504_tomato gherkin & couscous.jpg,tomato gherkin & couscous,20200429_142504_tomato gherkin & couscous.txt,89,3.05,0.46,0.38,0.43,0.0,14.19,7.3,2.5,0.28,2.04,0.72,0.0,0
341,20190221_134315_cod & greens.jpg,cod & greens,20190221_134315_cod & greens.txt,67,1.96,0.37,1.06,0.23,0.25,5.73,3.33,1.62,0.26,6.0,0.66,0.0,566
342,20210331_104829_soused cucumber.jpg,soused cucumber,20210331_104829_soused cucumber.txt,25,0.11,0.0,0.0,0.0,0.0,5.93,3.79,0.56,0.9,0.79,0.0,0.0,0
343,20191211_135152_snapdragon plaice.jpg,snapdragon plaice,20191211_135152_snapdragon plaice.txt,112,2.68,0.39,0.36,0.3,0.0,11.78,9.67,0.42,0.0,10.65,1.07,0.0,316
344,20190324_164047_beef and chicken burger mix.jpg,beef and chicken burger mix,20190324_164047_beef and chicken burger mix.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,20200620_204942_cocktail sausage rolls.jpg,cocktail sausage rolls,20200620_204942_cocktail sausage rolls.txt,573,41.08,11.92,21.27,5.72,4.29,31.23,0.84,1.65,0.71,19.88,1.42,0.0,20
346,20190502_190242_beetroot salad in tomato and chicken stock soup.jpg,beetroot salad in tomato and chicken stock soup,20190502_190242_beetroot salad in tomato and chicken stock soup.txt,37,2.73,0.48,0.83,0.15,0.0,2.93,1.53,0.7,0.03,0.52,0.71,0.0,685
347,20190906_104532_small pork and egg w red pepper breakfast.jpg,small pork and egg w red pepper breakfast,20190906_104532_small pork and egg w red pepper breakfast.txt,179,9.47,2.72,3.3,2.16,0.0,9.58,2.25,1.69,0.07,12.93,1.04,0.0,150
348,20190905_151548_lime garlic & chilli dressing.jpg,lime garlic & chilli dressing,20190905_151548_lime garlic & chilli dressing.txt,77,0.27,0.03,0.02,0.06,0.0,16.8,11.06,0.98,1.55,2.99,3.0,0.0,104
349,20210415_235021_beef kofte yorkie.jpg,beef kofte yorkie,20210415_235021_beef kofte yorkie.txt,221,13.47,2.82,1.49,0.32,0.0,10.7,1.73,1.35,0.09,14.39,0.96,0.0,94
350,20190912_131718_veg stew topped w boiled egg.jpg,veg stew topped w boiled egg,20190912_131718_veg stew topped w boiled egg.txt,113,4.52,1.47,2.08,0.54,0.0,14.69,3.76,2.65,0.0,3.94,0.38,0.0,196
351,20200325_135731_dehydrated grapes w salted lemon oil.jpg,dehydrated grapes w salted lemon oil,20200325_135731_dehydrated grapes w salted lemon oil.txt,126,5.43,0.81,3.61,0.64,0.0,21.24,20.12,1.11,0.0,0.74,0.0,0.0,0
352,20200104_143901_tomato rosemary & garlic sauce.jpg,tomato rosemary & garlic sauce,20200104_143901_tomato rosemary & garlic sauce.txt,154,13.42,1.93,8.56,1.3,0.0,6.98,2.78,1.84,2.02,2.08,0.49,0.0,0
353,20190412_145759_seabream and spinach tortilla dinner w red cabbage.jpg,seabream and spinach tortilla dinner w red cabbage,20190412_145759_seabream and spinach tortilla dinner w red cabbage.txt,129,7.19,2.07,1.96,1.48,0.02,4.85,3.25,1.77,0.05,10.62,0.29,0.11,410
354,20190504_212600_melon parma & couscous.jpg,melon parma & couscous,20190504_212600_melon parma & couscous.txt,74,1.55,0.39,0.6,0.43,0.0,10.94,7.43,1.06,0.1,4.93,0.62,0.0,270
355,20190717_151820_sweetheart cabbage noodles.jpg,sweetheart cabbage noodles,20190717_151820_sweetheart cabbage noodles.txt,67,3.88,0.58,2.31,0.42,0.0,5.76,3.64,3.74,0.02,2.58,0.0,0.0,170
356,20200314_130248_bacon egg tomato sandwich.jpg,bacon egg tomato sandwich,20200314_130248_bacon egg tomato sandwich.txt,301,20.16,5.94,6.11,1.55,0.0,11.79,1.42,1.83,0.0,17.61,2.35,0.0,253
357,20191114_174158_seared salmon & stuffed pepper.jpg,seared salmon & stuffed pepper,20191114_174158_seared salmon & stuffed pepper.txt,122,6.14,1.83,1.51,0.72,0.0,6.85,3.12,1.47,0.12,10.23,0.44,0.0,390
358,20190509_221730_leek and veggie samosa soup.jpg,leek and veggie samosa soup,20190509_221730_leek and veggie samosa soup.txt,46,2.18,0.39,0.02,0.04,0.0,6.21,2.18,0.8,0.0,0.78,0.62,0.0,278
359,20190327_224241_fried chicken breast.jpg,fried chicken breast,20190327_224241_fried chicken breast.txt,259,13.78,3.08,3.94,2.24,0.0,10.9,0.23,0.91,9.43,22.23,0.2,0.0,140
360,20190810_153645_green beans and ricotta cake in tomato.jpg,green beans and ricotta cake in tomato,20190810_153645_green beans and ricotta cake in tomato.txt,59,2.87,0.8,1.09,0.17,0.01,4.43,3.37,2.48,0.0,2.87,0.08,0.0,212
361,20190217_144626_steak w aubergine mushroom tartar kale and green beans.jpg,steak w aubergine mushroom tartar kale and green beans,20190217_144626_steak w aubergine mushroom tartar kale and green beans.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,20190220_152712_poached chicken liver.jpg,poached chicken liver,20190220_152712_poached chicken liver.txt,216,8.73,2.91,2.18,2.36,0.0,1.27,0.0,0.0,0.0,30.73,2.18,0.0,0
363,20210705_191739_leek risotto w asparagus & shiitake mushrooms.jpg,leek risotto w asparagus & shiitake mushrooms,20210705_191739_leek risotto w asparagus & shiitake mushrooms.txt,137,8.34,3.52,3.7,0.55,1.16,12.62,2.76,1.61,0.11,3.83,0.68,0.0,225
364,20200530_135904_sourdough flat bap.jpg,sourdough flat bap,20200530_135904_sourdough flat bap.txt,277,2.58,0.45,0.39,0.38,0.0,52.87,0.93,2.86,42.48,9.81,1.2,0.0,66
365,20200610_153754_pepper & cardamom chickpeas.jpg,pepper & cardamom chickpeas,20200610_153754_pepper & cardamom chickpeas.txt,106,5.52,1.78,1.75,0.41,0.0,8.72,2.38,2.08,2.91,4.36,0.29,0.46,478
366,20190129_195028_vegetable bun bo huey.jpg,vegetable bun bo huey,20190129_195028_vegetable bun bo huey.txt,31,0.25,0.11,0.03,0.03,0.0,6.44,2.37,1.46,0.24,0.92,0.31,0.0,0
367,20200518_200338_double lamb kofte open kebab.jpg,double lamb kofte open kebab,20200518_200338_double lamb kofte open kebab.txt,194,10.38,1.91,1.33,0.15,0.0,15.81,3.66,1.23,0.41,8.76,0.58,0.0,390
368,20210402_134125_chive & spinach omelette.jpg,chive & spinach omelette,20210402_134125_chive & spinach omelette.txt,146,11.07,2.68,5.88,1.8,0.0,2.23,0.54,0.93,0.0,9.42,0.65,0.0,166
369,20210707_161553_braised lettuce & broad beans.jpg,braised lettuce & broad beans,20210707_161553_braised lettuce & broad beans.txt,110,8.38,2.33,4.68,0.69,0.0,5.92,0.79,2.49,0.0,3.17,0.63,0.0,210
370,20210401_152018_steamed green veg & spring onions.jpg,steamed green veg & spring onions,20210401_152018_steamed green veg & spring onions.txt,29,0.26,0.06,0.0,0.07,0.0,5.54,3.01,2.08,0.0,1.99,0.06,0.0,187
371,20190905_095911_small pork and egg breakfast.jpg,small pork and egg breakfast,20190905_095911_small pork and egg breakfast.txt,181,10.04,2.73,3.3,2.22,0.0,9.06,1.38,1.58,0.0,12.63,0.59,0.0,146
372,20191225_132914_demi brioche sausage roll.jpg,demi brioche sausage roll,20191225_132914_demi brioche sausage roll.txt,339,19.49,8.59,2.51,0.48,0.0,29.78,5.59,2.7,15.57,10.97,1.34,0.0,100
373,20190807_234439_movie snacks 20190807 2.jpg,movie snacks 20190807 2,20190807_234439_movie snacks 20190807 2.txt,355,23.06,5.75,7.43,2.98,0.0,16.47,1.52,2.17,0.75,21.67,2.36,0.0,78
374,20200115_111629_mixed moussaka.jpg,mixed moussaka,20200115_111629_mixed moussaka.txt,147,9.72,3.68,3.54,0.56,0.03,9.07,3.44,1.83,2.12,6.5,0.5,0.0,326
375,20210328_062852_chinese leaf & liver v1.jpg,chinese leaf & liver v1,20210328_062852_chinese leaf & liver v1.txt,150,8.12,3.65,2.02,1.39,0.0,1.15,0.47,0.47,0.0,16.95,0.69,0.0,250
376,20210708_153356_orange honey & thyme dressing.jpg,orange honey & thyme dressing,20210708_153356_orange honey & thyme dressing.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,20191116_125617_chorizo aubergine balls.jpg,chorizo aubergine balls,20191116_125617_chorizo aubergine balls.txt,243,17.69,6.41,0.78,0.25,0.0,11.17,3.91,2.52,0.5,9.73,1.21,0.0,30
378,20190626_110517_caramelised apple.jpg,caramelised apple,20190626_110517_caramelised apple.txt,126,0.35,0.0,0.0,0.16,0.0,32.92,26.67,4.03,0.16,0.55,0.0,0.0,0
379,20200311_105210_fruit brunch.jpg,fruit brunch,20200311_105210_fruit brunch.txt,57,0.26,0.01,0.03,0.13,0.0,15.08,6.07,0.81,0.0,1.0,0.0,0.0,415
380,20201024_125045_wilted spinach.jpg,wilted spinach,20201024_125045_wilted spinach.txt,40,0.7,0.18,0.0,0.35,0.0,6.32,0.7,3.86,0.0,5.09,0.35,0.0,0
381,20200212_150003_water chestnut & courgette salad.jpg,water chestnut & courgette salad,20200212_150003_water chestnut & courgette salad.txt,53,0.3,0.07,0.01,0.08,0.0,11.62,7.5,1.62,0.0,1.77,0.02,0.0,240
382,20200617_195343_mixed chips.jpg,mixed chips,20200617_195343_mixed chips.txt,469,32.57,2.58,0.0,0.0,0.0,41.38,5.25,4.94,13.07,3.6,0.68,0.0,170
383,20190730_154246_baby courgette and yellow pepper salad.jpg,baby courgette and yellow pepper salad,20190730_154246_baby courgette and yellow pepper salad.txt,31,1.36,0.22,0.76,0.2,0.0,4.45,2.36,1.41,0.13,1.12,0.19,0.0,258
384,20210725_223511_emergency roule flask.jpg,emergency roule flask,20210725_223511_emergency roule flask.txt,24,1.79,0.71,0.6,0.25,0.0,1.52,0.62,0.14,0.02,0.36,1.4,0.0,500
385,20200611_132631_bran flakes breakfast.jpg,bran flakes breakfast,20200611_132631_bran flakes breakfast.txt,102,2.12,1.17,0.5,0.08,0.0,14.67,6.25,2.67,0.0,4.75,0.31,0.0,180
386,20210812_152343_egg wash 20210812.jpg,egg wash 20210812,20210812_152343_egg wash 20210812.txt,112,6.9,2.27,2.68,1.38,0.32,1.82,1.63,0.0,0.0,10.01,1.64,0.0,0
387,20191129_195646_aubergine & turkey stack.jpg,aubergine & turkey stack,20191129_195646_aubergine & turkey stack.txt,110,4.96,0.53,0.26,0.14,0.0,9.54,5.83,3.24,1.93,7.16,0.45,0.0,216
388,20190809_131353_steamed beetroot w balsamic vinegar.jpg,steamed beetroot w balsamic vinegar,20190809_131353_steamed beetroot w balsamic vinegar.txt,54,0.46,0.46,0.0,0.0,0.0,10.13,7.37,1.11,0.27,1.7,0.09,0.0,99
389,20200115_152514_lemongrass stir fry.jpg,lemongrass stir fry,20200115_152514_lemongrass stir fry.txt,122,9.87,1.32,6.94,1.13,0.0,7.25,3.67,1.71,0.22,1.53,0.12,0.0,220
390,20200908_170900_homegrown cucumber salad.jpg,homegrown cucumber salad,20200908_170900_homegrown cucumber salad.txt,50,3.67,0.5,2.61,0.38,0.0,3.89,2.26,0.56,0.57,0.8,0.18,0.0,140
391,20190504_211235_couscous w grapes & caramelized apple.jpg,couscous w grapes & caramelized apple,20190504_211235_couscous w grapes & caramelized apple.txt,123,2.97,0.36,0.98,1.05,0.0,21.69,8.89,2.38,0.18,3.23,0.76,0.0,300
392,20190817_205629_leftover veg and bean soup w lamb.jpg,leftover veg and bean soup w lamb,20190817_205629_leftover veg and bean soup w lamb.txt,73,3.61,1.01,1.87,0.38,0.17,5.65,1.93,1.37,1.31,3.68,0.58,0.33,0
393,20200212_151545_water chestnut & courgette pancake w fish.jpg,water chestnut & courgette pancake w fish,20200212_151545_water chestnut & courgette pancake w fish.txt,98,1.78,0.38,0.24,0.22,0.0,10.38,4.27,0.99,0.01,9.84,0.23,0.0,495
394,20210329_170146_smoked mussel & spring green salad.jpg,smoked mussel & spring green salad,20210329_170146_smoked mussel & spring green salad.txt,81,4.56,0.51,0.0,0.79,0.0,6.19,2.61,2.33,0.22,3.68,0.21,0.0,157
395,20210331_152142_double caprese & slaw.jpg,double caprese & slaw,20210331_152142_double caprese & slaw.txt,214,15.78,6.78,4.5,0.8,0.11,7.19,4.32,2.18,0.35,11.37,1.22,0.0,312
396,20200320_195620_cardamom dumplings.jpg,cardamom dumplings,20200320_195620_cardamom dumplings.txt,313,12.45,5.03,5.35,0.87,0.0,43.56,3.24,2.14,0.0,6.39,0.77,0.0,15
397,20210408_145123_beetroot humous yogurt dip.jpg,beetroot humous yogurt dip,20210408_145123_beetroot humous yogurt dip.txt,143,6.76,2.14,2.79,0.48,0.02,15.49,7.85,3.6,5.12,4.81,0.21,0.0,0
398,20200315_191130_cabbage noodle broth w beansprouts.jpg,cabbage noodle broth w beansprouts,20200315_191130_cabbage noodle broth w beansprouts.txt,28,0.97,0.21,0.0,0.02,0.0,3.44,2.43,0.94,0.02,1.31,0.7,0.0,535
399,20200313_133803_guinea fowl.jpg,guinea fowl,20200313_133803_guinea fowl.txt,193,8.8,2.3,3.9,2.2,0,0.4,0.4,0.6,0,28.0,0.15,0,0
